side_name,image_name,predicted_animal,date_taken,time_taken,day_night,confidence_%
0002-A,RCNX0293_2ccc.JPG,yellow throated marten,2022:01:01,06:52:38,day,22.48
0002-A,RCNX1523.JPG,yellow throated marten,2021:05:15,09:05:48,day,22.02
0002-A,RCNX1523_2345676543.JPG,bearded pig,2021:07:12,06:08:06,day,23.11
0002-A,RCNX1524.JPG,yellow throated marten,2021:05:15,09:05:49,day,21.70
0002-A,RCNX1524_212345678765432.JPG,bearded pig,2021:07:12,06:08:07,day,23.16
0002-A,RCNX1525.JPG,yellow throated marten,2021:05:15,09:05:50,day,22.25
0002-A,RCNX1534.JPG,bearded pig,2021:07:12,11:10:51,day,20.12
0002-A,RCNX1535.JPG,bearded pig,2021:07:12,11:10:52,day,19.80
0002-A,RCNX1550.JPG,bearded pig,2021:07:13,05:03:05,day,22.54
0002-A,RCNX1569.JPG,bearded pig,2021:06:13,14:47:04,day,14.58
0002-B,IMG_0050 (2).JPG,sambar deer,2019:01:19,22:20:36,night,23.05
0002-B,IMG_0051 (2).JPG,sambar deer,2019:01:19,22:20:37,night,22.05
0002-B,IMG_0052 (2).JPG,sambar deer,2019:01:19,22:20:38,night,18.40
0002-B,IMG_0053 (2).JPG,sambar deer,2019:01:19,22:20:39,night,23.04
0002-B,RCNX0291.JPG,yellow throated marten,2023:07:30,10:43:42,day,20.59
0002-B,RCNX0291_2ccc.JPG,yellow throated marten,2022:01:01,06:52:34,day,22.12
0002-B,RCNX0292.JPG,yellow throated marten,2023:07:30,10:43:45,day,21.60
0002-B,RCNX0292_2ccc.JPG,yellow throated marten,2022:01:01,06:52:37,day,22.64
0002-B,RCNX0293.JPG,yellow throated marten,2023:07:30,10:43:46,day,21.08
0002-C,RCNX1570.JPG,yellow throated marten,2021:06:13,14:47:06,day,12.68
0002-C,RCNX1571.JPG,pig tailed macaque,2021:06:13,14:47:07,day,16.77
0002-C,RCNX1576.JPG,bearded pig,2021:06:13,14:47:44,day,22.23
0002-C,RCNX3277.JPG,bearded pig,2021:08:08,15:59:14,day,15.93
